Nome_Musica,Artista,Genero,Ano,BPM,Energia,Dancabilidade,Valencia,Loudness,Streams,Taxa_Crescimento,Qtd_Playlists,Compartilhamentos,Taxa_Skip,Taxa_Replay,Popularidade
Viva La Vida,Coldplay,Hip-Hop,1994,136,0.53,0.65,0.26,-23.23,608802471,0.25,37,199014,0.42,0.01,42
Baby,Justin Bieber,R&B,2008,136,0.92,0.25,0.27,-8.77,497287896,0.2,35,190500,0.51,0.31,41
Your Song,Elton John,Eletrônica,1996,68,0.84,0.34,0.33,-26.68,689529959,0.91,106,60666,0.5,0.75,65
Diamonds,Rihanna,Pop,2005,133,0.94,1.0,0.28,-27.04,227054595,0.23,119,198945,0.25,0.1,53
Viva La Vida,Coldplay,Hip-Hop,2023,112,0.56,0.59,0.48,-29.18,587466076,0.11,43,90862,0.03,0.44,50
Baby,Justin Bieber,Pop,2021,82,0.66,0.29,0.34,-14.57,638244533,0.95,72,12123,0.19,0.25,57
New Rules,Dua Lipa,Hip-Hop,1999,152,0.34,0.36,0.68,-30.52,611065241,0.31,110,74767,0.6,0.64,46
Single Ladies,Beyoncé,Rock,2019,114,0.42,0.45,0.59,-19.77,505985043,0.32,91,181240,0.78,0.11,37
24K Magic,Bruno Mars,Eletrônica,1997,77,0.35,0.26,0.7,-5.37,83660604,0.02,57,192392,0.67,0.99,37
Starboy,The Weeknd,Hip-Hop,2010,168,0.62,0.61,0.24,-13.49,161519045,0.22,278,71757,0.27,0.47,44
Thriller,Michael Jackson,Eletrônica,1980,89,0.21,0.55,0.83,-52.38,763609474,0.61,253,26981,0.24,0.18,54
Without Me,Eminem,Eletrônica,1989,132,0.34,0.21,0.34,-42.23,485261308,0.13,259,188164,0.73,0.72,34
Save Your Tears,The Weeknd,R&B,1989,178,0.25,0.99,0.17,-13.35,77331652,0.0,61,16371,0.78,0.95,42
Photograph,Ed Sheeran,Pop,2017,168,0.67,0.48,0.34,-46.41,112412647,0.68,36,130978,0.25,0.5,53
Beat It,Michael Jackson,Pop,2008,77,0.31,0.81,0.39,-38.85,624324180,0.41,104,116664,0.68,0.37,49
Billie Jean,Michael Jackson,Rock,1990,88,0.87,0.56,0.9,-22.55,391773359,0.32,216,36958,0.74,0.86,60
Baby,Justin Bieber,Hip-Hop,1985,127,0.79,0.31,0.54,-57.18,764255495,0.21,98,43228,0.78,0.1,40
Tití Me Preguntó,Bad Bunny,Hip-Hop,1981,68,0.6,0.93,0.77,-8.26,135558250,0.29,127,53392,0.42,0.9,62
Memories,Maroon 5,Pop,1988,126,0.29,0.58,0.74,-43.65,436290164,0.04,77,52793,0.56,0.58,42
Single Ladies,Beyoncé,R&B,1986,168,0.42,0.22,0.92,-45.74,678313702,0.07,287,44261,0.3,0.12,38
Shape of You,Ed Sheeran,Rock,2000,132,0.68,0.9,0.22,-56.86,473490928,0.76,220,185838,0.22,0.46,66
Single Ladies,Beyoncé,Hip-Hop,2015,132,0.34,0.29,0.63,-6.76,711379328,0.37,253,143596,0.31,0.17,42
Tiny Dancer,Elton John,Hip-Hop,2006,116,0.7,0.5,0.24,-16.51,189121504,0.25,157,128124,0.78,0.12,34
Stronger,Kanye West,Hip-Hop,1997,125,0.34,0.82,0.49,-11.24,445919660,0.58,155,40855,0.06,0.02,53
Bohemian Rhapsody,Queen,R&B,2006,109,0.35,0.54,0.96,-59.7,702028817,0.27,215,54270,0.1,0.48,56
Diamonds,Rihanna,Eletrônica,2012,65,0.43,0.95,0.15,-15.23,220425071,0.62,39,131010,0.2,0.3,54
Vogue,Madonna,Eletrônica,1983,154,0.2,0.75,0.51,-41.07,599639553,0.1,259,49267,0.27,0.95,54
Sugar,Maroon 5,Hip-Hop,2009,67,0.37,0.29,0.3,-39.42,256187905,0.79,185,108420,0.45,0.33,43
Beat It,Michael Jackson,Eletrônica,1988,101,0.76,0.91,0.8,-37.85,649429162,0.15,295,138071,0.63,0.96,66
Memories,Maroon 5,Rock,2007,143,0.77,0.71,0.75,-46.33,397138229,0.25,234,53828,0.43,0.51,56
Dancing Queen,ABBA,R&B,1987,119,0.74,0.67,0.69,-41.11,552837197,0.91,288,126059,0.49,0.71,72
Positions,Ariana Grande,Pop,1984,123,0.47,0.51,0.36,-20.3,107132127,0.61,104,148946,0.16,0.38,48
Rap God,Eminem,Eletrônica,1990,69,0.88,0.94,0.75,-31.15,629745037,0.26,216,41157,0.74,0.07,56
Uptown Funk,Bruno Mars,Eletrônica,2024,78,0.22,0.36,0.12,-54.99,441104283,0.46,271,190813,0.61,0.24,33
Shape of You,Ed Sheeran,Eletrônica,2014,132,0.86,1.0,0.4,-28.86,202929263,0.88,218,147631,0.2,0.41,71
Photograph,Ed Sheeran,R&B,1980,164,0.57,0.58,0.19,-31.18,27334094,0.77,66,99087,0.03,0.19,50
Memories,Maroon 5,Pop,2020,169,0.91,0.61,0.58,-20.15,743077292,0.85,66,83074,0.04,0.43,73
Diamonds,Rihanna,Pop,1981,82,0.25,0.81,0.86,-34.97,499989220,0.23,159,146896,0.47,0.17,47
Shake It Off,Taylor Swift,R&B,2002,104,0.84,0.33,0.93,-57.62,60781499,0.39,89,158142,0.35,0.6,52
Stronger,Kanye West,Hip-Hop,1982,122,0.85,0.95,0.58,-16.82,329349884,0.96,19,22143,0.57,0.33,70
Photograph,Ed Sheeran,Pop,1985,131,0.52,0.54,0.13,-28.13,646490371,0.0,226,56801,0.29,0.18,37
Shake It Off,Taylor Swift,Pop,2007,129,0.42,0.35,0.67,-1.43,728269209,0.0,145,143620,0.1,0.51,45
Tiny Dancer,Elton John,Rock,2016,140,0.93,0.87,0.68,-46.29,404598155,0.84,131,39551,0.43,0.86,78
God's Plan,Drake,R&B,2018,90,0.79,0.53,0.45,-47.53,662520802,0.69,46,83395,0.43,0.68,64
Grenade,Bruno Mars,Pop,2011,155,0.8,0.25,0.26,-27.53,426738074,0.1,168,142173,0.34,0.13,35
We Will Rock You,Queen,Hip-Hop,1994,177,0.95,0.67,0.66,-32.91,83704678,0.56,294,143824,0.52,0.01,51
Rap God,Eminem,Hip-Hop,2021,133,0.9,0.35,0.59,-24.37,493840862,0.72,40,38336,0.27,0.53,62
Lose Yourself,Eminem,Rock,1989,94,0.73,0.76,0.82,-4.26,479327349,0.03,56,151076,0.25,0.91,62
God's Plan,Drake,R&B,1991,99,0.81,0.43,0.96,-3.36,260002294,0.85,232,32109,0.37,0.96,71
Baby,Justin Bieber,Rock,2012,99,0.94,0.88,0.79,-8.92,552931347,0.94,191,76070,0.54,0.94,84
Hung Up,Madonna,R&B,2004,114,0.94,0.84,0.17,-28.81,96816014,0.56,289,139741,0.18,0.22,56
Uptown Funk,Bruno Mars,Rock,1984,164,0.22,0.22,0.85,-4.55,390368090,0.07,30,78775,0.28,0.93,43
Halo,Beyoncé,R&B,2017,99,0.54,0.97,0.65,-53.26,490710103,0.54,96,168893,0.37,0.11,58
Don't Start Now,Dua Lipa,R&B,2006,180,0.9,0.83,0.51,-27.89,329711520,0.49,131,81984,0.33,0.36,61
Girls Like You,Maroon 5,Pop,2013,160,0.23,0.32,0.78,-20.24,151341541,0.16,63,13126,0.33,0.1,30
Mamma Mia,ABBA,R&B,2000,102,0.63,0.25,0.53,-46.19,118236171,0.33,4,19509,0.53,0.88,45
24K Magic,Bruno Mars,Eletrônica,1989,76,0.78,1.0,0.73,-15.35,152963561,0.4,35,60748,0.3,0.85,68
7 rings,Ariana Grande,Pop,2011,65,0.51,0.68,0.31,-45.55,52816059,0.58,118,54766,0.41,0.27,46
God's Plan,Drake,Eletrônica,1995,131,0.83,0.34,0.31,-58.7,775778128,0.29,254,10395,0.44,0.62,52
Dancing Queen,ABBA,Eletrônica,2006,87,0.65,0.32,0.83,-53.83,422399526,0.71,105,92638,0.25,0.6,60
Don't Start Now,Dua Lipa,Hip-Hop,2019,140,0.21,0.56,0.23,-10.96,421190081,0.83,125,10697,0.75,0.16,43
One Dance,Drake,R&B,1996,102,0.9,0.85,0.84,-17.11,740536397,0.47,275,18504,0.22,0.69,75
Tiny Dancer,Elton John,Pop,2015,101,0.39,0.24,0.95,-16.1,333118546,0.43,95,172685,0.19,0.27,45
Levitating,Dua Lipa,Hip-Hop,2009,68,0.99,0.47,0.48,-15.28,507312641,0.42,141,97294,0.44,0.19,52
Grenade,Bruno Mars,Hip-Hop,1997,79,0.69,0.37,0.14,-0.27,236839224,0.84,300,168827,0.77,0.07,42
Yellow,Coldplay,Pop,2004,140,0.34,0.99,0.77,-42.01,373290955,0.26,133,152410,0.17,0.89,64
Shape of You,Ed Sheeran,Hip-Hop,2005,133,0.45,0.89,0.16,-45.61,607818265,0.38,202,13565,0.48,0.08,47
One Dance,Drake,Pop,2022,110,0.69,0.88,0.13,-36.2,369170230,0.39,74,124712,0.22,0.85,62
Baby,Justin Bieber,R&B,1987,116,0.77,0.82,0.69,-28.76,449928654,0.65,114,184623,0.79,0.33,60
Baby,Justin Bieber,Hip-Hop,1983,168,0.39,0.58,0.56,-18.02,739018818,0.82,125,175160,0.38,0.98,69
Save Your Tears,The Weeknd,Eletrônica,2017,100,0.52,0.74,0.47,-48.1,618870445,0.61,113,15856,0.71,0.4,56
Levitating,Dua Lipa,Hip-Hop,1998,99,0.97,0.75,0.19,-16.82,711726623,0.17,127,90317,0.45,0.06,50
Peaches,Justin Bieber,R&B,1984,114,0.78,0.78,0.15,-14.33,409376514,0.04,146,110499,0.23,0.49,49
Blank Space,Taylor Swift,Eletrônica,1995,82,0.44,0.34,0.59,-11.17,735602357,0.79,149,173967,0.06,0.6,62
Shape of You,Ed Sheeran,R&B,2008,153,0.44,0.43,0.62,-30.61,182854200,0.85,125,46935,0.37,0.43,53
Your Song,Elton John,Eletrônica,2014,161,0.35,0.92,0.31,-45.34,603461140,0.54,292,20378,0.66,0.7,58
Like a Virgin,Madonna,Rock,1997,84,0.26,0.21,0.43,-23.58,423266750,0.94,264,198207,0.11,0.56,53
Beat It,Michael Jackson,R&B,1996,82,0.97,0.6,0.18,-26.9,487856034,0.4,230,7024,0.51,0.02,47
One Dance,Drake,Hip-Hop,2013,124,0.93,0.27,0.9,-46.78,653574444,0.62,148,134761,0.08,0.21,61
Levitating,Dua Lipa,R&B,1991,133,0.28,0.81,0.88,-43.05,469229075,0.12,97,12292,0.79,0.91,53
Stronger,Kanye West,R&B,1989,115,0.36,0.79,0.46,-47.76,693596057,0.69,262,122011,0.06,0.01,57
Yellow,Coldplay,R&B,2012,61,0.22,0.82,0.45,-8.79,541327377,0.03,148,171337,0.79,0.31,38
Perfect,Ed Sheeran,Rock,1999,115,0.76,0.79,1.0,-21.29,677087680,0.38,117,178307,0.27,0.62,69
Blank Space,Taylor Swift,Eletrônica,1989,61,0.2,0.67,0.65,-50.67,381457503,0.56,108,62893,0.19,0.61,56
Hotline Bling,Drake,Eletrônica,1986,162,0.43,0.74,0.21,-58.69,28666888,0.25,260,71459,0.02,0.72,49
Anti-Hero,Taylor Swift,Eletrônica,2002,103,0.47,0.63,0.92,-25.5,367637226,0.09,87,190897,0.7,0.73,49
Photograph,Ed Sheeran,Rock,2012,112,0.46,0.25,0.24,-29.03,279501159,0.74,176,175615,0.49,0.04,38
Sugar,Maroon 5,Rock,2009,159,0.46,0.66,0.27,-25.95,447837134,0.03,201,125885,0.66,0.96,46
God's Plan,Drake,Rock,1992,114,0.26,0.31,0.35,-2.3,547763246,0.86,57,128001,0.17,0.9,59
Fix You,Coldplay,Pop,1994,146,0.68,0.98,0.57,-27.76,151162727,0.9,7,27300,0.6,0.94,73
Shake It Off,Taylor Swift,Rock,2017,89,0.42,0.53,0.32,-22.15,465013389,0.66,58,18420,0.21,0.5,54
Rocket Man,Elton John,Hip-Hop,1983,74,0.42,0.44,0.26,-17.96,726710970,0.86,37,115437,0.43,0.39,55
New Rules,Dua Lipa,Rock,1991,99,0.59,0.68,0.27,-56.93,462588207,0.13,153,53046,0.15,0.49,49
One Dance,Drake,Hip-Hop,1996,90,0.87,0.98,0.73,-19.31,517792577,0.72,7,87389,0.33,0.47,74
Gimme Gimme Gimme,ABBA,Pop,1990,164,0.26,0.79,0.47,-39.19,148508777,0.46,30,20832,0.11,0.13,46
Yellow,Coldplay,R&B,2011,118,0.68,0.85,0.88,-11.5,477688646,0.53,53,113716,0.71,0.27,59
Dakiti,Bad Bunny,Eletrônica,1997,168,0.95,0.35,0.33,-10.59,743571310,0.0,78,38908,0.61,0.61,46
We Will Rock You,Queen,Eletrônica,2003,122,0.61,0.85,0.79,-10.61,447395410,0.67,127,72451,0.66,0.31,61
Dakiti,Bad Bunny,Pop,2023,117,0.92,0.37,0.19,-39.26,177440486,0.55,169,158674,0.61,0.41,46
Diamonds,Rihanna,Rock,1983,78,0.8,0.82,0.84,-27.94,50206090,0.68,47,69251,0.36,0.27,61
Blinding Lights,The Weeknd,Hip-Hop,2021,72,0.67,0.63,0.6,-8.36,340776113,0.04,262,122867,0.22,0.16,43
Dancing Queen,ABBA,Eletrônica,2009,100,0.22,0.31,0.35,-27.06,725439649,0.53,93,69903,0.32,0.13,41
Yonaguni,Bad Bunny,Eletrônica,2009,146,0.5,0.45,0.51,-50.12,797032485,0.26,297,95655,0.19,0.36,50
Memories,Maroon 5,Pop,1992,157,0.7,0.64,0.6,-20.81,555559757,0.66,160,88855,0.1,0.67,68
Mamma Mia,ABBA,Eletrônica,1994,161,0.78,0.88,0.47,-32.85,44786466,0.43,253,80345,0.56,0.69,57
Gold Digger,Kanye West,Rock,1992,97,0.24,0.72,0.45,-6.98,553996920,0.39,185,98549,0.76,0.59,48
Like a Virgin,Madonna,Eletrônica,1991,97,0.99,0.62,0.51,-57.95,499975754,0.82,44,177699,0.25,0.83,74
Sugar,Maroon 5,R&B,2017,60,0.55,0.27,0.77,-33.9,640343234,0.74,80,808,0.41,0.07,51
Hotline Bling,Drake,Pop,2017,142,0.37,0.49,0.82,-51.69,236944388,0.11,159,73867,0.68,0.65,41
Don't Start Now,Dua Lipa,Rock,1988,109,0.64,0.34,0.18,-41.34,387224464,0.21,201,17739,0.54,0.68,42
Like a Virgin,Madonna,Hip-Hop,2023,160,0.97,0.32,0.44,-1.74,187378109,0.12,85,160271,0.09,0.18,41
Vogue,Madonna,R&B,1984,87,0.97,0.79,0.13,-55.01,78719913,0.73,191,164946,0.3,0.54,62
Mamma Mia,ABBA,R&B,2007,149,0.58,0.63,0.78,-29.02,229415561,0.04,209,21236,0.76,0.16,37
Don't Stop Me Now,Queen,Hip-Hop,1998,117,0.35,0.77,0.75,-33.28,761620494,0.27,11,152002,0.46,0.58,57
Shape of You,Ed Sheeran,Hip-Hop,1993,137,0.84,0.29,0.57,-42.49,608515132,0.14,34,147865,0.79,0.39,42
Mamma Mia,ABBA,Rock,1997,154,0.38,0.64,0.29,-48.18,108212520,0.65,67,128227,0.65,0.17,41
Yonaguni,Bad Bunny,R&B,1993,116,0.94,0.33,0.33,-28.92,408257790,0.16,205,51673,0.32,0.15,41
Single Ladies,Beyoncé,Pop,1991,149,0.21,0.59,0.54,-42.28,192920502,0.21,49,13539,0.48,0.05,32
Don't Stop Me Now,Queen,R&B,2006,60,0.59,0.37,0.66,-18.23,32682422,0.78,19,179879,0.57,0.86,56
Fix You,Coldplay,Hip-Hop,1994,81,0.87,0.82,0.54,-28.85,18124611,0.36,33,9041,0.28,0.43,55
Fix You,Coldplay,R&B,2000,102,0.38,0.33,0.53,-5.55,82110946,0.7,56,143097,0.12,0.78,53
Hung Up,Madonna,Eletrônica,2018,168,0.59,0.53,0.17,-43.49,637215559,0.09,9,157739,0.33,0.22,40
Lose Yourself,Eminem,Hip-Hop,2022,113,0.29,0.36,0.71,-18.47,642129242,0.8,296,186183,0.14,0.74,62
Positions,Ariana Grande,R&B,1991,156,0.52,0.86,0.95,-57.65,53388273,0.7,83,40629,0.21,0.53,65
Gold Digger,Kanye West,R&B,2002,132,0.99,0.64,0.36,-37.22,686441120,0.2,132,161200,0.71,0.76,58
Thriller,Michael Jackson,Hip-Hop,1984,155,0.85,0.82,0.88,-14.89,593186322,0.44,59,143057,0.68,0.87,70
Like a Virgin,Madonna,Eletrônica,2016,119,0.7,0.55,0.95,-44.07,412660531,0.16,247,53528,0.63,0.49,50
Fix You,Coldplay,R&B,2013,180,0.75,0.41,0.46,-40.85,367873108,0.63,101,159807,0.39,0.8,59
Without Me,Eminem,Hip-Hop,1997,161,0.21,0.32,0.34,-53.23,73743834,0.49,296,65844,0.35,0.87,43
Lose Yourself,Eminem,Pop,2009,142,0.64,0.75,0.83,-46.6,429617327,0.98,268,95014,0.8,0.61,69
Baby,Justin Bieber,Eletrônica,2008,112,0.78,0.34,0.47,-38.83,225784985,0.74,11,96175,0.25,0.53,56
Yonaguni,Bad Bunny,R&B,2003,138,0.72,0.42,0.95,-19.45,486865373,0.71,0,19085,0.15,0.9,70
Without Me,Eminem,Hip-Hop,2001,96,0.75,0.72,0.69,-21.66,79068756,0.31,30,19451,0.33,0.48,53
Work,Rihanna,Eletrônica,2007,144,0.54,0.48,0.5,-17.23,47615834,0.79,220,100021,0.33,0.57,54
Levitating,Dua Lipa,R&B,2012,81,0.64,0.4,0.35,-59.57,176738390,0.17,239,50663,0.37,0.67,43
Gold Digger,Kanye West,Pop,2005,163,0.4,0.39,0.59,-39.38,24221762,0.59,142,72437,0.12,0.05,41
Heartless,Kanye West,R&B,1994,152,0.66,0.5,0.28,-16.5,600446123,0.47,178,9277,0.52,0.85,57
Hung Up,Madonna,Pop,1992,91,0.89,0.49,0.48,-49.99,47096029,0.57,119,32548,0.01,0.12,51
Sugar,Maroon 5,Pop,2011,76,0.5,0.92,0.55,-25.78,422518900,0.21,67,30122,0.17,0.48,56
Shape of You,Ed Sheeran,Rock,2009,160,0.26,0.92,0.58,-10.27,585752590,0.16,20,19508,0.19,0.87,59
Without Me,Eminem,Pop,2002,149,0.62,0.61,0.37,-12.09,112698740,0.45,158,146619,0.3,0.76,54
Single Ladies,Beyoncé,Pop,2016,68,0.27,0.25,0.47,-45.24,758863820,0.77,115,124739,0.42,0.09,45
Halo,Beyoncé,Hip-Hop,1998,141,0.87,0.63,0.91,-45.3,786605180,0.65,217,128974,0.73,0.69,70
We Will Rock You,Queen,Rock,2005,164,0.42,0.64,0.11,-4.22,409763619,0.65,148,142564,0.27,0.37,51
Yellow,Coldplay,Eletrônica,2014,100,0.63,0.74,0.23,-44.34,165288556,0.79,221,8315,0.24,0.71,62
Photograph,Ed Sheeran,Rock,2005,111,0.99,0.46,0.56,-34.3,175179416,0.17,245,174180,0.58,1.0,54
Without Me,Eminem,R&B,2004,143,0.39,0.61,0.37,-28.28,263438024,0.72,46,71431,0.78,0.5,49
Fix You,Coldplay,R&B,2012,112,0.6,0.22,0.69,-2.25,562959193,0.1,67,94125,0.31,0.14,38
Like a Virgin,Madonna,R&B,2003,79,0.85,0.85,0.97,-42.32,12918657,0.43,50,137618,0.35,0.85,67
Perfect,Ed Sheeran,Eletrônica,2003,121,0.64,0.81,0.49,-11.43,472922832,0.53,169,43607,0.02,0.93,70
Don't Stop Me Now,Queen,R&B,2016,164,0.86,0.39,0.12,-45.05,267927859,0.94,237,198784,0.69,0.22,50
Fix You,Coldplay,Pop,2018,160,0.77,0.73,0.44,-51.77,163124299,0.74,172,49262,0.49,0.98,67
Fix You,Coldplay,R&B,1989,152,0.65,0.61,0.83,-47.55,731175492,0.92,218,4143,0.66,0.45,67
Memories,Maroon 5,Pop,1990,149,0.8,0.43,0.32,-17.05,89266930,0.12,216,57078,0.06,0.59,45
Fix You,Coldplay,Eletrônica,2015,129,0.98,0.28,0.63,-27.23,370270975,0.68,87,158145,0.52,0.67,59
Levitating,Dua Lipa,Eletrônica,2022,99,0.76,0.59,0.99,-4.72,533882827,0.43,168,79343,0.04,0.8,69
Sugar,Maroon 5,Rock,2007,70,0.31,0.62,0.18,-55.27,546806465,0.97,74,167903,0.59,0.87,62
Without Me,Eminem,Rock,2008,132,0.38,0.95,0.92,-50.09,737490246,0.33,15,34714,0.09,0.13,60
Halo,Beyoncé,Rock,1990,117,0.52,0.38,0.79,-9.09,56185520,0.37,208,101258,0.2,0.9,52
Tiny Dancer,Elton John,Pop,2011,101,0.39,0.68,0.34,-34.32,427182457,0.17,200,179542,0.75,0.14,36
Rap God,Eminem,Eletrônica,2001,175,0.64,0.7,0.18,-21.0,334141820,0.7,211,182952,0.66,0.35,52
Hotline Bling,Drake,Hip-Hop,1996,167,0.8,0.73,0.71,-47.15,718021495,0.93,34,50470,0.29,0.34,73
7 rings,Ariana Grande,Eletrônica,1983,82,0.43,0.53,0.52,-35.0,378017230,0.54,211,139432,0.51,0.64,52
Blinding Lights,The Weeknd,R&B,2017,152,0.86,0.33,0.39,-58.94,125070513,0.65,176,125861,0.74,0.53,48
Shape of You,Ed Sheeran,Rock,1990,103,0.93,0.68,0.76,-31.79,153932277,0.26,141,18864,0.5,0.5,54
One Dance,Drake,Hip-Hop,2005,127,0.56,1.0,0.27,-22.23,7007808,0.89,125,107250,0.34,0.68,65
Save Your Tears,The Weeknd,Pop,1984,79,0.44,0.23,0.5,-2.75,259920884,0.23,279,97006,0.68,0.86,40
Billie Jean,Michael Jackson,R&B,1980,124,0.77,0.45,0.35,-15.12,485186483,0.02,47,77817,0.75,0.95,47
We Will Rock You,Queen,Eletrônica,1983,144,0.55,0.63,0.8,-55.37,592467663,0.48,187,147941,0.4,0.16,54
Save Your Tears,The Weeknd,Hip-Hop,2019,63,0.21,0.62,0.56,-28.1,458648719,0.94,104,122327,0.11,0.62,63
Yellow,Coldplay,Rock,1981,68,0.3,0.26,0.99,-59.39,358815437,0.22,273,148982,0.33,0.72,45
We Will Rock You,Queen,Pop,2021,101,0.94,0.68,0.71,-8.74,174486066,0.99,101,91293,0.33,0.4,69
Yellow,Coldplay,Eletrônica,2010,142,0.56,0.28,0.21,-7.97,200628965,0.74,51,104732,0.3,0.15,42
Memories,Maroon 5,R&B,2014,91,0.75,0.71,0.48,-36.79,275379065,0.59,35,199841,0.08,0.23,58
Perfect,Ed Sheeran,Hip-Hop,1995,99,0.75,0.48,0.11,-36.91,58615172,0.57,157,185712,0.78,0.93,50
Tiny Dancer,Elton John,Pop,1998,155,0.84,0.89,0.13,-43.71,401852237,0.76,196,64922,0.64,0.95,69
Break My Soul,Beyoncé,R&B,1980,86,0.38,0.94,0.51,-19.65,436255559,0.34,103,166958,0.66,0.01,45
Your Song,Elton John,Eletrônica,1994,61,0.71,0.34,0.91,-31.49,305243705,0.6,143,192493,0.42,0.18,50
Starboy,The Weeknd,R&B,2016,109,0.73,0.33,0.63,-5.64,174438322,0.12,221,76582,0.07,0.74,48
New Rules,Dua Lipa,R&B,1982,101,0.39,0.97,0.54,-40.14,509093720,0.53,1,10756,0.49,0.5,60
Dancing Queen,ABBA,Hip-Hop,2006,176,0.9,0.88,0.11,-3.6,394513100,0.83,208,60126,0.44,0.09,60
Single Ladies,Beyoncé,Hip-Hop,2022,174,0.79,0.89,0.57,-48.68,335140700,0.88,188,17789,0.74,0.25,63
New Rules,Dua Lipa,Eletrônica,2006,153,0.65,1.0,0.19,-45.43,321914291,0.81,52,183970,0.14,0.72,71
Rap God,Eminem,Rock,2022,62,0.41,0.52,0.43,-56.49,339298697,0.06,212,199661,0.04,0.42,42
Umbrella,Rihanna,Eletrônica,2020,144,0.63,0.61,0.83,-8.47,545432746,0.26,175,62088,0.76,0.2,47
Blank Space,Taylor Swift,Hip-Hop,1998,169,0.26,0.55,0.33,-44.87,127702947,0.13,17,34404,0.2,0.18,33
Gold Digger,Kanye West,Eletrônica,2017,146,0.3,0.7,0.37,-33.13,83434288,0.19,216,26816,0.2,0.53,42
Positions,Ariana Grande,Pop,1992,71,0.44,0.95,0.82,-54.21,84770938,0.97,208,93919,0.12,0.11,64
Mamma Mia,ABBA,Rock,2016,91,0.23,0.6,0.28,-29.23,159337549,0.86,110,66786,0.67,0.6,49
Tiny Dancer,Elton John,R&B,2008,68,0.73,0.73,0.37,-28.15,608215918,0.83,264,49354,0.6,0.25,61
Blank Space,Taylor Swift,R&B,1996,125,0.22,0.39,0.29,-51.87,366248366,0.72,72,74420,0.14,0.6,50
Anti-Hero,Taylor Swift,Rock,1988,101,0.56,0.26,0.44,-36.53,21693369,0.95,39,199945,0.78,0.69,49
Don't Stop Me Now,Queen,R&B,1997,180,0.74,0.88,0.68,-36.39,30433217,0.22,215,121115,0.17,0.7,59
Grenade,Bruno Mars,Rock,2014,126,0.89,0.6,0.2,-52.11,633838859,0.09,167,16314,0.35,0.33,48
Tití Me Preguntó,Bad Bunny,R&B,2016,70,0.88,0.96,0.35,-32.68,74746711,0.42,164,57399,0.13,0.19,56
Don't Start Now,Dua Lipa,Eletrônica,2006,111,0.33,0.72,0.6,-36.95,512573172,0.4,149,149917,0.0,0.82,62
Hotline Bling,Drake,Hip-Hop,2006,103,0.33,0.35,0.78,-1.08,411678204,0.68,43,101162,0.2,0.61,55
Without Me,Eminem,R&B,2017,106,0.54,0.68,0.63,-8.82,622851361,0.7,160,97703,0.58,0.53,61
Sorry,Justin Bieber,R&B,2000,128,0.69,0.8,0.71,-46.62,169963695,1.0,91,142506,0.78,0.91,71
Blinding Lights,The Weeknd,Hip-Hop,1993,139,0.76,0.87,0.32,-30.63,531527214,0.69,149,124868,0.29,0.1,61
Halo,Beyoncé,R&B,1992,91,0.99,0.39,0.78,-20.89,219380941,0.2,44,159106,0.4,0.47,50
Photograph,Ed Sheeran,R&B,1989,159,0.59,0.23,0.54,-11.88,140923366,0.94,122,149573,0.48,0.04,45
Shape of You,Ed Sheeran,Pop,2007,140,0.98,0.3,0.54,-42.05,310686035,0.29,116,12,0.35,0.88,55
Don't Start Now,Dua Lipa,Pop,1985,93,0.33,0.56,0.63,-54.52,360438182,0.18,63,51771,0.71,0.35,38
Sorry,Justin Bieber,Pop,2007,123,0.83,0.81,0.19,-46.35,654507429,0.34,299,124705,0.78,0.87,60
Gimme Gimme Gimme,ABBA,R&B,2022,72,0.29,0.91,0.76,-21.52,636819840,0.98,265,118774,0.14,0.34,71
Shake It Off,Taylor Swift,Rock,2004,154,0.5,0.57,0.78,-33.38,683953160,0.95,269,47873,0.54,0.4,64
Rap God,Eminem,Eletrônica,2010,76,0.35,0.53,0.55,-42.8,650778458,0.86,23,96877,0.16,0.31,59
Blinding Lights,The Weeknd,Eletrônica,1998,77,0.77,0.24,0.63,-1.85,135150674,0.65,42,32913,0.62,0.87,54
Levitating,Dua Lipa,Pop,2014,158,0.79,0.51,0.52,-31.54,327530398,0.34,284,119750,0.52,0.34,48
Peaches,Justin Bieber,Eletrônica,2005,96,0.36,0.95,0.66,-9.81,429131108,0.68,214,83253,0.21,0.32,62
Tiny Dancer,Elton John,R&B,1992,123,0.89,0.88,0.68,-29.64,31285582,0.61,177,38727,0.3,0.08,58
24K Magic,Bruno Mars,Hip-Hop,1998,105,0.73,0.51,0.15,-50.84,482062157,0.67,241,140453,0.29,0.45,55
We Will Rock You,Queen,Pop,2022,111,0.29,0.55,0.24,-3.05,354933547,0.62,44,163376,0.0,0.95,58
Dakiti,Bad Bunny,R&B,2020,157,0.43,0.29,0.12,-21.02,486956920,0.66,54,177672,0.38,0.57,47
Thank U Next,Ariana Grande,R&B,1986,160,0.53,0.46,0.84,-30.33,4086386,0.58,152,41907,0.05,0.91,60
One Dance,Drake,Pop,2005,104,0.84,0.84,0.83,-0.09,655217633,0.36,10,108605,0.29,0.11,61
Don't Stop Me Now,Queen,Eletrônica,2007,61,0.75,0.87,0.21,-48.67,221128118,0.65,199,40224,0.1,0.17,58
Halo,Beyoncé,Hip-Hop,1989,154,0.31,0.92,0.75,-40.87,612332249,0.55,243,26884,0.15,0.36,63
